FileName	Rolling Stone Rank	TITLE	ARTIST	Release Year	RS 5x20 subset	Lyric subset	YoutubeLink
CreedenceClearwaterRevival_ProudMary_1969	155	Proud Mary	Creedence Clearwater Revival	1969	FALSE	FALSE	https://www.youtube.com/watch?v=XfyEpmQM7bw
TheJimiHendrixExperience_PurpleHaze_1967	17	Purple Haze	The Jimi Hendrix Experience	1967	TRUE	TRUE	https://www.youtube.com/watch?v=zSsjtiky9xI
Prince_PurpleRain_1984	143	Purple Rain	Prince	1984	TRUE	TRUE	https://www.youtube.com/watch?v=TvnYmWpD_T8
BuddyHolly_RaveOn_1958	154	Rave On	Buddy Holly and the Crickets	1958	FALSE	FALSE	https://www.youtube.com/watch?v=KqefV-dapQc
BobMarley_RedemptionSong_1980	66	Redemption Song	Bob Marley & The Wailers	1980	TRUE	TRUE	https://www.youtube.com/watch?v=yv5xonFSC4c
ArethaFranklin_Respect_1967	5	Respect	Aretha Franklin	1967	TRUE	TRUE	https://www.youtube.com/watch?v=6FOUqQt3Kg0
JohnnyCash_RingOfFire_1963	87	Ring of Fire	Johnny Cash	1963	FALSE	FALSE	https://www.youtube.com/watch?v=EQ36XYh0tkk
IkeAndTinaTurner_RiverDeepMountainHigh_1966	33	River Deep - Mountain High	Ike & Tina Turner	1966	TRUE	TRUE	https://www.youtube.com/watch?v=uj0wPrN_Y_4
ChuckBerry_RockAndRollMusic_1957	128	Rock & Roll Music	Chuck Berry	1957	FALSE	FALSE	https://www.youtube.com/watch?v=pufTZyykLlw
TheB52s_RockLobster_1979	146	Rock Lobster	The B-52's	1979	FALSE	FALSE	https://www.youtube.com/watch?v=n4QSYx4wVQg
NeilYoung_RockinInTheFreeWorld_1989	214	Rockin' in the Free World	Neil Young	1989	TRUE	TRUE	https://www.youtube.com/watch?v=DvxxdZpMFHg
ChuckBerry_RollOverBeethoven_1956	97	Roll Over Beethoven	Chuck Berry	1956	TRUE	TRUE	https://www.youtube.com/watch?v=kKlzUKLOm_U
TheBeastieBoys_Sabotage_1994	475	Sabotage	The Beastie Boys	1994	TRUE	FALSE	https://www.youtube.com/watch?v=YZ5yKJlhbiA
